agency,description,name,price
Homesmart,"Goodyear, AZ 85338",7520 S Estrella Parkway,"$3,198,000"
West Usa Realty,"Goodyear, AZ 85395",2732 N 168th Avenue,"$1,299,000"
Hunt Real Estate Era,"Goodyear, AZ 85338",8885 S San Angelo Street,"$1,245,000"
Exp Realty,"Goodyear, AZ 85338",17636 W Paseo Way,"$1,229,000"
Nexgen Real Estate,"Goodyear, AZ 85338",16605 W Pima Street,"$1,200,000"
West Usa Realty,"Goodyear, AZ 85395",16465 W Holly Street,"$1,199,000"
Realty One Group,"Goodyear, AZ 85395",16547 W Holly Street,"$1,195,000"
Berkshire Hathaway Homeservices Arizona Properties,"Goodyear, AZ 85395",3070 N 159th Drive,"$1,189,999"
Homesmart,"Goodyear, AZ 85338",18078 W Wind Drift Drive,"$1,150,000"
Realty One Group,"Goodyear, AZ 85338",16607 W Mohave Street,"$1,100,000"
Homesmart,"Goodyear, AZ 85395",4632 N 183rd Avenue,"$1,025,000"
Breinholt May Realty & Investments,"Goodyear, AZ 85338",16309 W Durango Street,"$989,000"
Realty One Group,"Tempe, AZ 85284",2181 E La Vieve Lane,"$2,000,000"
Homesmart Lifestyles,"Tempe, AZ 85284",2059 E La Vieve Lane,"$1,850,000"
Keller Williams Realty East Valley,"Tempe, AZ 85284",2141 E La Vieve Lane,"$1,680,000"
Century 21 Arizona Foothills,"Tempe, AZ 85284",2165 E Caroline Lane,"$1,525,000"
Ran Realty & Property Management,"Tempe, AZ 85281",120 E Rio Salado Parkway #703,"$1,500,000"
Blocks Brokerage Llc,"Tempe, AZ 85284",1526 E La Vieve Lane,"$1,295,000"
Hague Partners,"Tempe, AZ 85281",140 E Rio Salado Parkway #203,"$1,200,000"
48 Venture  Real Estate,"Tempe, AZ 85283",1212 E Commodore Place,"$1,129,000"
Exp Realty,"Tempe, AZ 85283",1407 E Bayview Drive,"$1,000,000"
A.M. Realty & Property Management,"Tempe, AZ 85284",1340 E Caroline Lane,"$929,000"
Keller Williams Realty East Valley,"Tempe, AZ 85283",978 E Driftwood Drive,"$925,000"
"Urban Realty & Development, Llc","Tempe, AZ 85281",120 E Rio Salado Parkway #102,"$920,000"
Aloe Property Management,"Maricopa, AZ 85139",49749 W Pampas Grass Road,"$775,000"
Richmond American Homes,"Maricopa, AZ 85138",22334 N Daniel Drive,"$764,995"
Hague Partners,"Maricopa, AZ 85139",53862 W Barrel Road,"$735,000"
Richmond American Homes,"Maricopa, AZ 85138",22360 N Daniel Drive,"$724,995"
West Usa Realty,"Maricopa, AZ 85138",43304 W Little Drive,"$685,000"
Yay Realty,"Maricopa, AZ 85138",42515 W Bravo Drive,"$669,000"
Homesmart Success,"Maricopa, AZ 85138",40693 W Bravo Drive,"$669,000"
West Usa Realty,"Maricopa, AZ 85139",10502 N Candido Road,"$655,000"
"Cactus Mountain Properties, Llc","Maricopa, AZ 85138",42508 W Blue Suede Shoes Lane,"$650,000"
Richmond American Homes,"Maricopa, AZ 85138",40584 W Desert Fairways Drive,"$644,995"
Trelora Realty,"Maricopa, AZ 85138",21676 N Backus Drive,"$625,000"
Richmond American Homes,"Maricopa, AZ 85138",40877 W Desert Fairways Drive,"$619,995"
